id,Common name,Scientific Name,Study id,species_id,family,Author,Year,Title,Community_outcome,response_ratio,Variance,category,interaction,type,mass,log_mass,apex,time,consequences,alignment,lat,long,Region,absence,log_gdp,governing_body,predator,prey,,,,,,,,,,,,
1,Pine marten,Martes marte,1,1,Mustelidae,Twining et al.,2021,Declining invasive grey squirrel populations may persist in refugia as native predator recovery reverses squirrel species replacement,Gray squirrel presence,2.90264185,0.622700698,Abundnace,density,passive,920,2.963787827,N,45,intended,aligned,54.79,-6.913167,Northern Ireland,76,5.016963596,federal,1,2,,,,,,,,,,,,
2,Pine marten,Martes marte,1,1,Mustelidae,Twining et al.,2021,Declining invasive grey squirrel populations may persist in refugia as native predator recovery reverses squirrel species replacement,Red Squirrel presesnce,3.002561491,0.622700698,Abundnace,density,passive,920,2.963787827,N,45,intended,aligned,54.79,-6.913167,Northern Ireland,77,5.016963596,federal,1,2,,,,,,,,,,,,
3,Iberian lynx,Lynx pardinus,2,2,"	Felidae",Jimenez et al.,2019,Restoring apex predators can reduce mesopredator abundances,density of mesopredators,1.515127233,0.875468737,Behavioral,behavioral,active,9400,3.973127854,Y,4,unintended,aligned,39.49,-5.857889,"Matachel river valley, Spain",30,4.47238341,local,2,1,,,,,,,,,,,,
4,Iberian lynx,Lynx pardinus,2,2,"	Felidae",Jimenez et al.,2019,Restoring apex predators can reduce mesopredator abundances,Hare presence,0.622700698,0.875468737,Abundnace,behavioral,active,9400,3.973127854,Y,4,unintended,aligned,39.49,-5.857889,"Matachel river valley, Spain",30,4.47238341,local,2,1,,,,,,,,,,,,
5,Iberian lynx,Lynx pardinus,2,2,"	Felidae",Jimenez et al.,2019,Restoring apex predators can reduce mesopredator abundances,partridge presence,0.165168478,0.875468737,Abundnace,behavioral,active,9400,3.973127854,Y,4,unintended,aligned,39.49,-5.857889,"Matachel river valley, Spain",30,4.47238341,local,2,1,,,,,,,,,,,,
6,Dingo,Canis lupus dingo,3,3,Canidae,Wallach et al.,2010,Predator control promotes invasive dominated ecological states,mesopredator abundance,1.51674344,0.057162607,Behavioral,behavioral,passive,15800,4.198657087,Y,4,none,aligned,-30.9,138.927635,"Red Lake, Australia",110,4.813579654,unregulated,1,2,,,,,,,,,,,,
7,Dingo,Canis lupus dingo,3,3,Canidae,Wallach et al.,2010,Predator control promotes invasive dominated ecological states,herbivore abundance ,2.632726175,0.057162607,Abundnace,behavioral,passive,15800,4.198657087,Y,4,none,aligned,-30.9,138.927635,"Red Lake, Australia",110,4.813579654,unregulated,1,2,,,,,,,,,,,,
8,Dingo,Canis lupus dingo,3,3,Canidae,Wallach et al.,2010,Predator control promotes invasive dominated ecological states,small mammal abundnace,3.543178377,0.057162607,Abundnace,density,passive,15800,4.198657087,Y,4,none,aligned,-30.9,138.927635,"Red Lake, Australia",110,4.813579654,unregulated,1,2,,,,,,,,,,,,
9,Puma,Puma concolor,4,4,"	Felidae",Leempoel et al,2019,Return of an apex predator to a suburban preserve triggers a rapid trophic cascade,Mule deer abundnace,0.99423311,1.008840233,Abundnace,density,passive,37200,4.57054294,Y,7,none,aligned,37.41,-122.244063,"Standford, California",5,4.882692986,unregulated,2,2,,,,,,,,,,,,
10,Puma,Puma concolor,4,4,"	Felidae",Leempoel et al,2019,Return of an apex predator to a suburban preserve triggers a rapid trophic cascade,Coyote Abunadnce,1.289654901,1.008840233,Behavioral,behavioral,passive,37200,4.57054294,Y,7,none,aligned,37.41,-122.244063,"Standford, California",5,4.882692986,unregulated,2,2,,,,,,,,,,,,
11,Puma,Puma concolor,4,4,"	Felidae",Leempoel et al,2019,Return of an apex predator to a suburban preserve triggers a rapid trophic cascade,Gray fox Abundnace,5.195147432,1.008840233,Behavioral,behavioral,passive,37200,4.57054294,Y,7,none,aligned,37.41,-122.244063,"Standford, California",5,4.882692986,unregulated,2,2,,,,,,,,,,,,
12,Iberian lynx,Lynx pardinus,5,2,"	Felidae",Burgos et al.,2022,Predation risk can modify the foraging behaviour of frugivorous carnivores: Implications of rewilding apex predators for plant–animal mutualisms,Red fox fruit visits,1.625934361,0.133333333,Behavioral,behavioral,active,9400,3.973127854,Y,21,intended,nuetral,38.14,-4.027634,"Sierra de Andújar Natural Park, Spain",110,4.47238341,federal,2,2,,,,,,,,,,,,
13,Tiger,Panthera tigris,6,5,"	Felidae",Harihar et al.,2011,Leopard presence,Leopard prey consumption shift to small prey and domestic livetsock,1.882731247,0.035380117,Behavioral,behavioral,passive,137900,5.139564266,Y,4,none,unaligned,30.06,78.107637,"Rajaji National Park, India",3,3.382179197,unregulated,2,2,,,,,,,,,,,,
14,Cheetah,Acinonyx jubatus,7,6,"	Felidae",Rubel et al.,2022,Rewilding Apex Predators Has Effects on Lower Trophic Levels: Cheetahs and Ungulates in a Woodland Savanna,small ungulate presence,0.243622083,0.024229692,Abundnace,density,active,50000,4.698970004,Y,18,unintended,nuetral,-21.06,17.152723,"Bellebenno, Namibia",18,3.70166295,international,2,2,,,,,,,,,,,,
15,Cheetah,Acinonyx jubatus,7,6,"	Felidae",Rubel et al.,2022,Rewilding Apex Predators Has Effects on Lower Trophic Levels: Cheetahs and Ungulates in a Woodland Savanna,medium ungulate presence,2.197224577,0.024229692,Abundnace,density,active,50000,4.698970004,Y,18,unintended,nuetral,-21.06,17.152723,"Bellebenno, Namibia",18,3.70166295,international,2,2,,,,,,,,,,,,
16,Cheetah,Acinonyx jubatus,7,6,"	Felidae",Rubel et al.,2022,Rewilding Apex Predators Has Effects on Lower Trophic Levels: Cheetahs and Ungulates in a Woodland Savanna,large ungulate presence,1.145132304,0.024229692,Behavioral,density,active,50000,4.698970004,Y,18,unintended,nuetral,-21.06,17.152723,"Bellebenno, Namibia",18,3.70166295,international,2,2,,,,,,,,,,,,
17,Dingo,Canis lupus dingo,8,3,Canidae,Moseby et al.,2019,Ecological Role of an Apex Predator Revealed by a Reintroduction Experiment and Bayesian Statistics,Kangaroos,0.076540077,0.047604208,Abundnace,density,active,15800,4.198657087,Y,11,intended,nuetral,-30.38,139.763857,"Strzelecki Desert, Australia",110,4.813579654,local,1,2,,,,,,,,,,,,
18,Dingo,Canis lupus dingo,8,3,Canidae,Moseby et al.,2019,Ecological Role of an Apex Predator Revealed by a Reintroduction Experiment and Bayesian Statistics,Foxes,0.875468737,0.047604208,Behavioral,behavioral,active,15800,4.198657087,Y,11,intended,nuetral,-30.38,139.763857,"Strzelecki Desert, Australia",110,4.813579654,local,1,2,,,,,,,,,,,,
19,Dingo,Canis lupus dingo,8,3,Canidae,Moseby et al.,2019,Ecological Role of an Apex Predator Revealed by a Reintroduction Experiment and Bayesian Statistics,cats,1.945910149,0.047604208,Behavioral,density,active,15800,4.198657087,Y,11,intended,nuetral,-30.38,139.763857,"Strzelecki Desert, Australia",110,4.813579654,local,1,2,,,,,,,,,,,,
20,Dingo,Canis lupus dingo,8,3,Canidae,Moseby et al.,2019,Ecological Role of an Apex Predator Revealed by a Reintroduction Experiment and Bayesian Statistics,small mammals,1.624705385,0.047604208,Abundnace,behavioral,active,15800,4.198657087,Y,11,intended,nuetral,-30.38,139.763857,"Strzelecki Desert, Australia",110,4.813579654,local,1,2,,,,,,,,,,,,
21,Gray wolf,Canis lupus,9,7,Canidae,Esattore et al.,2022,"Same place, different time, head up: Multiple antipredator responses to a recolonizing apex predator",Fallow deer vigilance,1.183770097,0.5,Behavioral,behavioral,passive,16800,4.225309282,Y,7,none,nuetral,42.5,11.090122,"Maremma Regional Park, Italy",15,4.541284622,unregulated,2,2,,,,,,,,,,,,
22,Gray wolf,Canis lupus,10,7,Canidae,Shores et al,2019,Mesopredators change temporal activity in response to a recolonizing apex predator,coyote presence,0.260933444,0.0625,Behavioral,behavioral,passive,16800,4.225309282,Y,80,none,nuetral,48.39,-119.006954,"Oakanagen, Washington",80,4.882692986,local,2,2,,,,,,,,,,,,
23,Gray wolf,Canis lupus,10,7,Canidae,Shores et al,2019,Mesopredators change temporal activity in response to a recolonizing apex predator,bobcat presence,0.201120639,0.0625,Behavioral,behavioral,passive,16800,4.225309282,Y,80,none,nuetral,48.39,-119.006954,"Oakanagen, Washington",80,4.882692986,local,2,2,,,,,,,,,,,,
24,Sea Otter,Enhydra lutris,11,8,Mustelidae,Lee et al,2016,Indirect effects and prey behavior mediate interactions between an endangered prey and recovering predator,seastar biomass,1.56049448,0.001490385,Abundnace,density,active,23500,4.371067862,Y,40,intended,aligned,53,-131.826994,"Hiada Gwaii, Canada",72,4.73971234,federal,2,2,,,,,,,,,,,,
25,Sea Otter,Enhydra lutris,11,8,Mustelidae,Lee et al,2016,Indirect effects and prey behavior mediate interactions between an endangered prey and recovering predator,urchin biomass,1.880061903,0.001490385,Abundnace,density,active,23500,4.371067862,Y,40,intended,aligned,53,-131.826994,"Hiada Gwaii, Canada",72,4.73971234,federal,2,2,,,,,,,,,,,,
26,Sea Otter,Enhydra lutris,11,8,Mustelidae,Lee et al,2016,Indirect effects and prey behavior mediate interactions between an endangered prey and recovering predator,Kelp stipes,0.826786363,0.001490385,Abundnace,density,active,23500,4.371067862,Y,40,intended,aligned,53,-131.826994,"Hiada Gwaii, Canada",72,4.73971234,federal,2,2,,,,,,,,,,,,
27,Gray wolf,Canis lupus,12,7,Canidae,Ripple and Beschta,2003,"Wolf reintroduction, predation risk, and cottonwood recovery in Yellowstone National Park",Elk abundnace,0.096849826,0.036803519,Abundnace,density,active,16800,4.225309282,Y,8,unintended,aligned,45.02,-110.06561,"YNP, Wyoming",125,4.882692986,federal,2,2,,,,,,,,,,,,
28,Gray wolf,Canis lupus,12,7,Canidae,Ripple and Beschta,2003,"Wolf reintroduction, predation risk, and cottonwood recovery in Yellowstone National Park",stream discharge,0.8194157,0.036803519,Biogeochemical,density,active,16800,4.225309282,Y,8,unintended,aligned,45.02,-110.06561,"YNP, Wyoming",125,4.882692986,federal,2,2,,,,,,,,,,,,
